# Specific emission factors per fuel type and country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Manually scraped from the supplementary material of Tranberg.2019 (https://doi.org/10.1016/j.esr.2019.100367),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy_type,AT,BE,BG,CZ,DE,DK,EE,ES,EU28,FI,FR,GB,GR,HU,IE,IT,LT,LV,ME,NL,NO,PL,PT,RO,RS,SE,SI,SK
high-voltage_mix,125,188,609,731,654,432,1030,331,426,262,41.9,801,980,400,513,469,551,520,426,616,15.9,1000,360,398,852,21.8,434,216
wind,17.8,16.2,19.5,19.4,20,13.8,19.8,14.2,16.8,23,15.6,16.8,15.1,13.6,13.7,19.7,13.3,18.2,16.8,16.3,14.4,16.5,13.7,25.3,16.8,15.6,16.8,16.8
nuclear,12.4,12,12,12,11.3,12.4,12.4,12.1,12.4,12.5,12.9,12.4,12.4,12,12.4,12.4,12.4,12.4,12.4,12,12.4,12.4,12.4,14.2,12.4,4.44,12,12
geothermal,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8
biomass_cogeneration,53.8,53.8,56.8,53.8,53.8,53.8,56.8,53.8,53.9,53.8,53.8,53.8,53.9,53.8,53.8,53.8,56.8,56.8,53.9,53.8,53.9,53.8,53.8,53.8,53.9,53.8,53.8,53.8
hydropower_pumped_storage,452,378,901,1140,965,617,617,546,617,617,77.3,617,1420,617,851,615,1040,617,617,617,41.7,1420,588,629,1220,617,617,684
hydropower_reservoir,6.97,14.7,14.7,51.4,51.4,14.7,14.7,51.4,14.7,44.8,6.97,14.7,14.7,14.7,14.7,6.97,14.7,14.7,14.7,14.7,6.97,14.7,51.4,14.7,6.97,7.26,14.7,51.4
hydropower_run-of-river,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42
coal,986,1120,1180,1190,1170,1160,1300,1210,1160,1080,1090,1140,1300,1410,1070,1150,1180,1160,1160,1030,1160,1160,1140,1140,1340,1180,1200,1160
coal_cogeneration,1220,1210,1250,1710,1170,1050,1210,1210,1210,1100,1210,1210,1560,1240,1210,1260,1210,1210,1210,998,1490,1160,1210,1240,1240,1370,1250,1530
gas,614,471,746,697,533,513,513,492,513,839,588,521,682,750,462,532,513,513,513,465,407,513,441,615,513,513,1090,694
gas_cogeneration,529,503,936,840,351,455,423,173,475,530,671,475,173,648,173,496,629,599,475,450,523,542,475,686,810,555,436,652
oil,1160,913,1670,1060,877,1240,1180,866,1020,447,953,1320,993,1130,919,1060,1020,1020,1020,1020,1020,1020,834,1000,1020,854,1390,960
oil_cogeneration,959,854,965,1520,680,965,873,935,935,952,770,935,1080,873,935,904,1530,935,935,1080,935,880,610,1260,935,837,873,1400
low-voltage-mix,323,239,675,794,657,393,921,369,446,244,54.9,805,973,487,588,443,729,780,738,610,30.5,1030,400,474,940,42.3,447,458
solar,107,112,77.9,118,110,94.6,94.6,71.4,94.6,94.6,90.9,94.6,76.3,94.6,94.6,81.3,109,94.6,94.6,109,94.6,109,94.6,69.3,88.1,110,83,90.7
