,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore
2020-01-01 00:00:00+01:00,13.0,243.0,36.0,0.0,0.0,413.0,697.0,0.0,7.0,0.0
2020-01-01 01:00:00+01:00,13.0,253.0,36.0,0.0,0.0,441.0,697.0,0.0,7.0,0.0
2020-01-01 02:00:00+01:00,13.0,251.0,36.0,0.0,0.0,420.0,697.0,0.0,7.0,0.0
2020-01-01 03:00:00+01:00,13.0,249.0,38.0,0.0,0.0,388.0,697.0,0.0,7.0,0.0
2020-01-01 04:00:00+01:00,13.0,246.0,39.0,0.0,0.0,384.0,697.0,0.0,6.0,0.0
2020-01-01 05:00:00+01:00,13.0,246.0,40.0,0.0,0.0,361.0,697.0,0.0,7.0,0.0
2020-01-01 06:00:00+01:00,13.0,246.0,42.0,0.0,0.0,360.0,696.0,0.0,6.0,1.0
2020-01-01 07:00:00+01:00,12.0,246.0,36.0,0.0,0.0,440.0,696.0,0.0,7.0,0.0
2020-01-01 08:00:00+01:00,13.0,242.0,40.0,0.0,0.0,424.0,697.0,12.0,7.0,1.0
2020-01-01 09:00:00+01:00,13.0,222.0,38.0,0.0,0.0,454.0,697.0,40.0,8.0,1.0
2020-01-01 10:00:00+01:00,13.0,219.0,42.0,0.0,0.0,436.0,697.0,63.0,8.0,0.0
2020-01-01 11:00:00+01:00,12.0,219.0,43.0,0.0,0.0,400.0,697.0,78.0,6.0,0.0
2020-01-01 12:00:00+01:00,13.0,219.0,44.0,0.0,0.0,442.0,697.0,63.0,8.0,0.0
2020-01-01 13:00:00+01:00,12.0,220.0,44.0,0.0,0.0,431.0,697.0,62.0,7.0,0.0
2020-01-01 14:00:00+01:00,13.0,221.0,44.0,0.0,0.0,524.0,697.0,35.0,6.0,0.0
2020-01-01 15:00:00+01:00,13.0,239.0,44.0,0.0,0.0,636.0,697.0,12.0,8.0,0.0
2020-01-01 16:00:00+01:00,13.0,241.0,43.0,0.0,0.0,713.0,697.0,0.0,5.0,0.0
2020-01-01 17:00:00+01:00,13.0,243.0,42.0,0.0,0.0,759.0,697.0,0.0,4.0,0.0
2020-01-01 18:00:00+01:00,13.0,242.0,43.0,0.0,0.0,769.0,697.0,0.0,8.0,0.0
2020-01-01 19:00:00+01:00,13.0,242.0,48.0,0.0,0.0,792.0,697.0,0.0,9.0,1.0
2020-01-01 20:00:00+01:00,13.0,242.0,51.0,0.0,0.0,760.0,697.0,0.0,5.0,1.0
2020-01-01 21:00:00+01:00,13.0,242.0,51.0,0.0,0.0,722.0,697.0,0.0,10.0,1.0
2020-01-01 22:00:00+01:00,13.0,244.0,25.0,0.0,0.0,685.0,697.0,0.0,9.0,0.0
2020-01-01 23:00:00+01:00,13.0,239.0,25.0,0.0,0.0,544.0,697.0,0.0,9.0,0.0
2020-01-02 00:00:00+01:00,12.0,240.0,37.0,0.0,0.0,310.0,697.0,0.0,7.0,0.0
2020-01-02 01:00:00+01:00,12.0,243.0,37.0,0.0,0.0,286.0,697.0,0.0,7.0,0.0
2020-01-02 02:00:00+01:00,12.0,252.0,36.0,0.0,0.0,302.0,697.0,0.0,7.0,0.0
2020-01-02 03:00:00+01:00,12.0,243.0,37.0,0.0,0.0,290.0,697.0,0.0,7.0,0.0
2020-01-02 04:00:00+01:00,12.0,243.0,39.0,0.0,0.0,287.0,697.0,0.0,7.0,0.0
2020-01-02 05:00:00+01:00,12.0,244.0,39.0,0.0,0.0,317.0,697.0,0.0,8.0,0.0
2020-01-02 06:00:00+01:00,12.0,237.0,44.0,0.0,0.0,365.0,696.0,0.0,7.0,0.0
2020-01-02 07:00:00+01:00,12.0,249.0,34.0,0.0,0.0,484.0,696.0,0.0,8.0,0.0
2020-01-02 08:00:00+01:00,12.0,251.0,41.0,0.0,0.0,652.0,697.0,9.0,8.0,0.0
2020-01-02 09:00:00+01:00,12.0,232.0,40.0,0.0,0.0,636.0,696.0,33.0,8.0,1.0
2020-01-02 10:00:00+01:00,12.0,234.0,43.0,0.0,0.0,590.0,697.0,56.0,7.0,0.0
2020-01-02 11:00:00+01:00,11.0,225.0,44.0,0.0,0.0,551.0,697.0,73.0,6.0,0.0
2020-01-02 12:00:00+01:00,12.0,229.0,45.0,0.0,0.0,566.0,697.0,67.0,8.0,0.0
2020-01-02 13:00:00+01:00,12.0,224.0,45.0,0.0,0.0,669.0,697.0,65.0,7.0,0.0
2020-01-02 14:00:00+01:00,12.0,221.0,45.0,0.0,0.0,673.0,697.0,38.0,6.0,0.0
2020-01-02 15:00:00+01:00,12.0,229.0,45.0,0.0,0.0,687.0,697.0,13.0,8.0,0.0
2020-01-02 16:00:00+01:00,12.0,236.0,44.0,0.0,160.0,728.0,697.0,0.0,5.0,0.0
2020-01-02 17:00:00+01:00,12.0,230.0,44.0,0.0,160.0,756.0,697.0,0.0,4.0,0.0
2020-01-02 18:00:00+01:00,12.0,246.0,44.0,0.0,161.0,820.0,697.0,0.0,8.0,0.0
2020-01-02 19:00:00+01:00,12.0,251.0,49.0,0.0,0.0,829.0,697.0,0.0,9.0,1.0
2020-01-02 20:00:00+01:00,12.0,238.0,52.0,0.0,0.0,710.0,697.0,0.0,5.0,1.0
2020-01-02 21:00:00+01:00,12.0,237.0,52.0,0.0,0.0,625.0,697.0,0.0,10.0,1.0
2020-01-02 22:00:00+01:00,12.0,238.0,26.0,0.0,0.0,552.0,697.0,0.0,9.0,1.0
2020-01-02 23:00:00+01:00,12.0,242.0,26.0,0.0,0.0,492.0,697.0,0.0,9.0,0.0
2020-01-03 00:00:00+01:00,11.0,233.0,38.0,0.0,0.0,288.0,697.0,0.0,7.0,0.0
2020-01-03 01:00:00+01:00,11.0,237.0,38.0,0.0,0.0,272.0,696.0,0.0,7.0,0.0
2020-01-03 02:00:00+01:00,11.0,227.0,37.0,0.0,0.0,253.0,696.0,0.0,7.0,0.0
2020-01-03 03:00:00+01:00,11.0,230.0,38.0,0.0,0.0,259.0,696.0,0.0,7.0,0.0
2020-01-03 04:00:00+01:00,11.0,233.0,40.0,0.0,0.0,265.0,696.0,0.0,7.0,0.0
2020-01-03 05:00:00+01:00,11.0,232.0,40.0,0.0,0.0,268.0,696.0,0.0,7.0,0.0
2020-01-03 06:00:00+01:00,12.0,227.0,45.0,0.0,0.0,330.0,696.0,0.0,7.0,0.0
2020-01-03 07:00:00+01:00,11.0,230.0,37.0,0.0,0.0,480.0,696.0,0.0,8.0,0.0
